"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3176","has title","firefox","2026-02-16","passed","2026-02-16","","example.spec.js","",""
"","1232","has title","webkit","2026-02-16","passed","2026-02-16","","example.spec.js","",""
"","4151","has title","chromium","2026-02-16","passed","2026-02-16","","example.spec.js","",""
"","4349","get started link","firefox","2026-02-16","passed","2026-02-16","","example.spec.js","",""
"","4648","get started link","chromium","2026-02-16","passed","2026-02-16","","example.spec.js","",""
"","1009","get started link","webkit","2026-02-16","passed","2026-02-16","","example.spec.js","",""
